caseno_2011,prev_address_2011,age_2011,distance_to_work_2011,no_of_cars_2011,country_birth_2011,deprived_edu_2011,deprived_employ_2011,deprived_health_2011,deprived_housing_2011,deprived_2011,health_activity_limited_2011,child_2011,ethnicity_2011,general_health_2011,edu_2011,illness_in_house_2011,occupation_2011,prev_region_2011,social_grade_2011,sex_2011,tenure_2011,travel_mode_to_work_2011,travel_mode_to_work_2001,place_of_work_2011,live_near_work_2011,workplace_2011
2831286,1,10,3,2,3,0,0,0,0,1,3,1,1,2,15,0,53,,4,2,1,7,7,1,4,4
2831304,1,9,3,1,1,1,0,1,0,3,2,4,1,3,10,1,44,,2,2,1,7,7,1,3,3
2831301,3,11,2,1,1,1,0,0,0,2,3,,1,1,10,0,91,8,4,1,3,7,7,1,3,3
2831319,1,11,4,1,1,1,0,0,0,2,3,,1,1,11,0,33,,2,2,7,7,7,1,4,4
2831372,1,7,,0,1,0,1,1,0,3,1,1,1,4,15,2,94,,4,2,4,,,,,
2831365,1,13,8,2,1,0,0,1,0,2,3,1,1,2,11,1,13,,1,2,0,1,1,2,1,2
2831384,1,6,4,2,1,0,0,1,0,2,2,1,1,2,12,1,14,,2,1,1,7,7,1,4,4
2831386,1,8,3,2,13,0,0,1,0,2,3,4,3,1,15,1,23,,1,1,1,8,8,1,4,4
2831418,1,2,,2,1,0,1,1,0,3,3,6,1,2,,2,,,,1,4,,,,,
2831445,1,13,5,2,1,0,1,1,0,3,3,1,1,1,15,1,31,,2,1,1,7,7,1,4,4
2831447,2,5,4,2,1,0,0,0,0,1,3,,1,1,15,0,24,8,1,1,7,8,8,1,3,3
2831455,1,5,2,1,1,0,0,0,1,2,3,,1,1,14,0,75,,3,1,5,10,10,1,3,3
2831458,1,16,,1,1,1,0,0,0,2,3,1,1,2,10,0,94,,,2,0,,,,,
2831489,1,13,2,3,1,0,0,0,0,1,3,,1,2,14,0,71,,3,1,0,7,7,1,3,3
2831532,1,9,1,2,1,0,0,1,0,2,3,4,1,2,12,2,53,,1,2,0,7,7,1,2,3
2831531,1,14,,1,1,0,0,1,0,2,1,,1,2,15,1,91,,,2,0,,,,,
2831556,1,12,,3,2,0,0,0,0,1,3,1,1,1,14,0,33,,1,2,0,,,,,
2831550,1,11,,3,1,0,1,1,0,3,2,7,1,4,14,1,24,,2,1,1,,,,,
2831585,1,10,3,2,1,0,0,1,0,2,3,1,1,1,11,1,51,,2,2,9,7,7,1,4,4
2831613,1,3,,3,1,0,0,0,0,1,3,5,1,1,,0,,,,2,1,,,,,
2831632,1,12,1,2,1,0,0,1,0,2,1,1,1,2,10,1,81,,4,1,1,7,7,1,3,3
2831643,1,3,,2,1,0,0,0,0,1,3,6,1,1,,0,,,,2,5,,,,,
2831663,1,11,9,2,1,0,0,0,0,1,3,5,1,1,12,0,71,,3,1,1,7,7,3,2,1
2831688,1,12,9,1,1,0,0,0,0,1,3,,1,2,12,0,71,,4,1,1,8,8,3,2,1
2831719,1,4,3,2,1,0,0,0,0,1,3,1,1,1,13,0,51,,2,2,0,4,4,1,3,3
2831715,1,9,2,2,1,0,0,0,0,1,3,4,1,1,15,0,13,,1,1,1,9,9,1,3,3
2831727,1,10,5,4,1,0,0,1,0,2,3,1,1,1,12,1,33,,2,2,0,7,7,1,4,4
2831738,1,14,,2,1,0,0,0,0,1,3,1,1,1,13,0,31,,,1,0,,,,,
2831758,1,14,,1,11,0,0,0,0,1,3,1,5,2,13,0,35,,,1,0,,,,,
2831796,1,13,4,2,1,1,0,1,0,3,2,1,1,2,11,1,53,,3,2,0,7,7,1,4,4
2831820,1,18,,1,1,1,0,0,0,2,3,,1,1,10,0,53,,,2,0,,,,,
2831814,1,3,,2,1,0,0,0,0,1,3,6,1,1,,0,,,,1,1,,,,,
2831825,3,13,,1,1,0,0,1,0,2,3,1,1,2,14,1,13,11,2,1,1,,,,,
2831845,1,16,,2,1,0,0,0,0,1,3,1,1,1,15,0,26,,,2,0,,,,,
2831891,1,14,,2,1,0,1,0,0,2,3,1,1,2,16,0,14,,,2,0,,,,,
2831908,2,2,,2,1,0,0,0,0,1,3,4,1,1,,0,,8,,2,1,,,,,
2831900,1,10,9,3,1,0,0,0,0,1,3,4,1,1,14,0,33,,2,1,0,7,7,3,2,1
2831930,1,10,6,2,1,0,0,1,0,2,3,7,1,1,15,1,23,,3,1,0,7,7,1,4,4
2831947,1,9,8,2,1,0,0,0,0,1,3,4,1,1,15,0,14,,1,2,1,1,1,2,1,2
2831986,4,5,,3,8,0,0,0,0,1,3,,3,1,16,0,52,1,2,2,1,,,,,
2832000,1,9,7,2,1,0,0,0,0,1,3,3,1,1,14,0,21,,2,1,1,8,8,1,4,4
2832015,1,2,,2,1,0,1,0,0,2,3,6,1,1,,0,,,,2,1,,,,,
2832028,1,5,3,1,1,0,0,0,0,1,3,2,1,2,14,0,83,,1,1,1,7,7,1,3,3
2832034,1,18,,0,1,0,0,1,0,2,2,,1,3,12,1,13,,,2,0,,,,,
2832074,1,1,,1,1,0,0,0,0,1,3,2,1,1,,0,,,,2,3,,,,,
2832076,1,16,,1,1,1,0,1,0,3,3,1,1,3,10,1,91,,,2,0,,,,,
2832092,1,9,8,2,1,0,0,0,0,1,3,4,1,1,15,0,14,,2,2,1,1,1,2,1,2
2832105,1,13,1,2,1,0,0,0,0,1,3,1,1,2,12,0,33,,2,1,0,7,7,1,3,3
2832125,1,8,5,2,1,0,1,0,0,2,3,6,1,3,12,0,21,,2,1,1,7,7,1,4,4
2832149,1,18,,0,1,1,0,1,1,4,1,,1,3,10,1,51,,,2,9,,,,,
2832170,1,9,3,2,1,0,0,0,0,1,3,2,1,2,13,0,51,,3,2,1,7,7,1,3,3
2832162,1,13,,1,1,1,0,1,0,3,3,1,1,2,10,1,53,,4,2,1,,,,,
2832180,1,11,,3,1,0,0,0,0,1,3,1,1,1,12,0,96,,4,2,0,,,,,
2832198,1,7,8,2,1,0,0,0,0,1,3,,1,2,15,0,21,,3,1,1,7,1,2,1,2
2832242,1,2,,0,1,0,0,0,0,1,3,2,1,1,,0,,,,1,5,,,,,
2832252,1,10,8,2,1,0,0,0,0,1,3,3,1,2,13,0,33,,3,2,1,7,1,2,1,2
2832260,1,12,1,1,1,0,0,0,0,1,3,1,1,2,16,0,51,,1,2,5,10,10,1,2,3
2832276,1,10,,2,1,0,0,0,0,1,3,1,1,3,15,0,26,,1,2,1,,,,,
2832294,1,2,,1,1,0,0,0,0,1,3,4,1,1,,0,,,,1,4,,,,,
2832339,1,4,,2,1,0,0,0,0,1,3,3,1,2,10,0,,,1,1,1,,,,,
2832349,1,16,,2,1,1,0,0,0,2,3,1,1,2,10,0,61,,,1,0,,,,,
2832346,1,6,1,4,1,0,1,1,0,3,3,1,4,1,12,1,82,,4,1,0,7,7,1,3,3
2832354,1,15,,1,1,0,0,0,0,1,3,1,1,2,13,0,21,,,1,0,,,,,
2832381,1,15,,1,4,0,0,0,0,1,3,1,1,1,10,0,33,,,2,0,,,,,
2832420,1,8,4,2,1,0,0,0,0,1,3,4,1,1,15,0,22,,2,2,1,7,7,1,4,4
